survey_start,branch,loopid,qstart,click_count,help_clicks,help_time,qend,qfirst
2016-04-05 02:17:58.784,1,Q1,2016-04-05 02:18:06.089,1,0,0,2016-04-05 02:18:08.496,2016-04-05 02:18:08.495
2016-04-05 02:21:32.133,2,Q1,2016-04-05 02:21:40.217,1,0,0,2016-04-05 02:21:42.533,2016-04-05 02:21:42.532
2016-04-05 02:23:42.095,3,Q1,2016-04-05 02:23:51.988,1,0,0,2016-04-05 02:23:54.387,2016-04-05 02:23:54.386
2016-04-05 04:06:05.030,3,1,2016-04-05 04:06:18.785,1,0,0,2016-04-05 04:06:22.186,2016-04-05 04:06:22.185
2016-04-05 02:17:58.784,1,Q3,2016-04-05 02:18:16.678,1,0,0,2016-04-05 02:18:18.541,2016-04-05 02:18:18.540
2016-04-05 02:21:32.133,2,Q3,2016-04-05 02:21:47.503,1,0,0,2016-04-05 02:21:50.646,2016-04-05 02:21:50.645
2016-04-05 02:23:42.095,3,Q3,2016-04-05 02:23:58.941,1,0,0,2016-04-05 02:24:00.600,2016-04-05 02:24:00.599
2016-04-05 04:06:05.030,3,3,2016-04-05 04:08:01.066,1,0,0,2016-04-05 04:08:03.125,2016-04-05 04:08:03.124
2016-04-05 02:17:58.784,1,Q4,2016-04-05 02:18:20.390,1,0,0,2016-04-05 02:18:23.972,2016-04-05 02:18:23.971
2016-04-05 02:21:32.133,2,Q4,2016-04-05 02:21:52.543,1,0,0,2016-04-05 02:21:54.071,2016-04-05 02:21:54.070
2016-04-05 02:23:42.095,3,Q4,2016-04-05 02:24:02.074,1,0,0,2016-04-05 02:24:03.908,2016-04-05 02:24:03.907
2016-04-05 04:06:05.030,3,4,2016-04-05 04:08:05.349,1,0,0,2016-04-05 04:08:07.866,2016-04-05 04:08:07.865
2016-04-05 02:17:58.784,1,Q5,2016-04-05 02:19:11.611,3,0,0,2016-04-05 02:19:15.674,2016-04-05 02:19:14.456
2016-04-05 02:21:32.133,2,Q5,2016-04-05 02:21:59.381,3,0,0,2016-04-05 02:22:04.512,2016-04-05 02:22:03.168
2016-04-05 02:23:42.095,3,Q5,2016-04-05 02:24:09.139,3,0,0,2016-04-05 02:24:13.308,2016-04-05 02:24:12.011
2016-04-05 04:06:05.030,3,5,2016-04-05 04:08:13.345,5,0,0,2016-04-05 04:08:19.078,2016-04-05 04:08:15.062
2016-04-05 02:17:58.784,1,Q6,2016-04-05 02:19:17.460,3,0,0,2016-04-05 02:19:20.753,2016-04-05 02:19:19.343
2016-04-05 02:21:32.133,2,Q6,2016-04-05 02:22:06.311,5,0,0,2016-04-05 02:22:10.346,2016-04-05 02:22:07.799
2016-04-05 02:23:42.095,3,Q6,2016-04-05 02:24:15.237,3,0,0,2016-04-05 02:24:17.717,2016-04-05 02:24:16.133
2016-04-05 04:06:05.030,3,6,2016-04-05 04:08:20.813,3,0,0,2016-04-05 04:08:24.036,2016-04-05 04:08:22.726
2016-04-05 02:17:58.784,1,Q7,2016-04-05 02:19:22.592,3,0,0,2016-04-05 02:19:25.702,2016-04-05 02:19:24.305
2016-04-05 02:21:32.133,2,Q7,2016-04-05 02:22:11.923,3,0,0,2016-04-05 02:22:17.723,2016-04-05 02:22:16.529
2016-04-05 02:23:42.095,3,Q7,2016-04-05 02:24:19.488,3,0,0,2016-04-05 02:24:22.073,2016-04-05 02:24:21.044
2016-04-05 04:06:05.030,3,7,2016-04-05 04:08:25.717,3,0,0,2016-04-05 04:08:28.531,2016-04-05 04:08:27.386
2016-04-05 02:17:58.784,1,Q8,2016-04-05 02:19:27.474,3,0,0,2016-04-05 02:19:29.963,2016-04-05 02:19:28.988
2016-04-05 02:21:32.133,2,Q8,2016-04-05 02:22:19.545,3,0,0,2016-04-05 02:22:21.792,2016-04-05 02:22:20.575
2016-04-05 02:23:42.095,3,Q8,2016-04-05 02:24:24.086,3,0,0,2016-04-05 02:24:26.808,2016-04-05 02:24:25.843
2016-04-05 04:06:05.030,3,8,2016-04-05 04:08:30.216,3,0,0,2016-04-05 04:08:33.442,2016-04-05 04:08:32.381
2016-04-05 02:17:58.784,1,Q9,2016-04-05 02:19:36.626,2,0,0,2016-04-05 02:19:45.306,2016-04-05 02:19:44.443
2016-04-05 02:21:32.133,2,Q9,2016-04-05 02:22:27.318,2,0,0,2016-04-05 02:22:31.647,2016-04-05 02:22:30.930
2016-04-05 02:23:42.095,3,Q9,2016-04-05 02:24:32.185,2,0,0,2016-04-05 02:24:35.388,2016-04-05 02:24:34.765
2016-04-05 04:06:05.030,3,9,2016-04-05 04:08:38.959,2,0,0,2016-04-05 04:08:42.057,2016-04-05 04:08:41.238
2016-04-05 02:17:58.784,1,Q10,2016-04-05 02:19:47.120,1,0,0,2016-04-05 02:19:49.852,2016-04-05 02:19:49.851
