survey_start,branch,loopid,qstart,click_count,help_clicks,help_time,qend,qfirst
2016-04-05 02:17:58.784,1,Q1,2016-04-05 02:18:06.089,1,0,0,2016-04-05 02:18:08.496,2016-04-05 02:18:08.495
2016-04-05 02:21:32.133,2,Q1,2016-04-05 02:21:40.217,1,0,0,2016-04-05 02:21:42.533,2016-04-05 02:21:42.532
2016-04-05 02:23:42.095,3,Q1,2016-04-05 02:23:51.988,1,0,0,2016-04-05 02:23:54.387,2016-04-05 02:23:54.386
2016-04-05 04:06:05.030,3,1,2016-04-05 04:06:18.785,1,0,0,2016-04-05 04:06:22.186,2016-04-05 04:06:22.185
2016-04-05 06:13:38.966,3,1,2016-04-05 07:43:19.973,1,0,0,2016-04-05 07:43:27.205,2016-04-05 07:43:27.204
2016-04-05 22:37:31.416,3,1,2016-04-05 22:38:25.647,0,2,2016-04-05 22:38:38.944,2016-04-05 22:38:45.001,2016-04-05 22:38:45.001
2016-04-06 08:50:07.843,2,1,2016-04-06 08:50:19.956,1,0,0,2016-04-06 08:50:22.851,2016-04-06 08:50:22.846
2016-04-05 02:17:58.784,1,Q3,2016-04-05 02:18:16.678,1,0,0,2016-04-05 02:18:18.541,2016-04-05 02:18:18.540
2016-04-05 02:21:32.133,2,Q3,2016-04-05 02:21:47.503,1,0,0,2016-04-05 02:21:50.646,2016-04-05 02:21:50.645
2016-04-05 02:23:42.095,3,Q3,2016-04-05 02:23:58.941,1,0,0,2016-04-05 02:24:00.600,2016-04-05 02:24:00.599
2016-04-05 04:06:05.030,3,3,2016-04-05 04:08:01.066,1,0,0,2016-04-05 04:08:03.125,2016-04-05 04:08:03.124
2016-04-05 06:13:38.966,3,3,2016-04-05 07:43:34.460,1,0,0,2016-04-05 07:43:37.765,2016-04-05 07:43:37.764
2016-04-05 22:37:31.416,3,3,2016-04-05 22:38:52.198,1,0,0,2016-04-05 22:38:56.522,2016-04-05 22:38:56.522
2016-04-06 08:50:07.843,2,3,2016-04-06 08:51:09.363,1,0,0,2016-04-06 08:51:12.018,2016-04-06 08:51:12.009
2016-04-05 02:17:58.784,1,Q4,2016-04-05 02:18:20.390,1,0,0,2016-04-05 02:18:23.972,2016-04-05 02:18:23.971
2016-04-05 02:21:32.133,2,Q4,2016-04-05 02:21:52.543,1,0,0,2016-04-05 02:21:54.071,2016-04-05 02:21:54.070
2016-04-05 02:23:42.095,3,Q4,2016-04-05 02:24:02.074,1,0,0,2016-04-05 02:24:03.908,2016-04-05 02:24:03.907
2016-04-05 04:06:05.030,3,4,2016-04-05 04:08:05.349,1,0,0,2016-04-05 04:08:07.866,2016-04-05 04:08:07.865
2016-04-05 06:13:38.966,3,4,2016-04-05 07:43:39.042,4,4,2016-04-05 07:43:54.679,2016-04-05 07:43:58.724,2016-04-05 07:43:51.928
2016-04-05 22:37:31.416,3,4,2016-04-05 22:38:57.760,1,0,0,2016-04-05 22:38:59.675,2016-04-05 22:38:59.674
2016-04-06 08:50:07.843,2,4,2016-04-06 08:51:13.533,1,0,0,2016-04-06 08:51:15.966,2016-04-06 08:51:15.959
2016-04-05 02:17:58.784,1,Q5,2016-04-05 02:19:11.611,3,0,0,2016-04-05 02:19:15.674,2016-04-05 02:19:14.456
2016-04-05 02:21:32.133,2,Q5,2016-04-05 02:21:59.381,3,0,0,2016-04-05 02:22:04.512,2016-04-05 02:22:03.168
2016-04-05 02:23:42.095,3,Q5,2016-04-05 02:24:09.139,3,0,0,2016-04-05 02:24:13.308,2016-04-05 02:24:12.011
2016-04-05 04:06:05.030,3,5,2016-04-05 04:08:13.345,5,0,0,2016-04-05 04:08:19.078,2016-04-05 04:08:15.062
2016-04-05 22:37:31.416,3,5,2016-04-05 22:39:18.887,1,14,2016-04-05 22:39:35.197,2016-04-05 22:40:17.167,2016-04-05 22:39:25.389
2016-04-06 08:50:07.843,2,5,2016-04-06 08:51:40.466,3,0,0,2016-04-06 08:51:43.789,2016-04-06 08:51:42.426
2016-04-05 02:17:58.784,1,Q6,2016-04-05 02:19:17.460,3,0,0,2016-04-05 02:19:20.753,2016-04-05 02:19:19.343
2016-04-05 02:21:32.133,2,Q6,2016-04-05 02:22:06.311,5,0,0,2016-04-05 02:22:10.346,2016-04-05 02:22:07.799
2016-04-05 02:23:42.095,3,Q6,2016-04-05 02:24:15.237,3,0,0,2016-04-05 02:24:17.717,2016-04-05 02:24:16.133
2016-04-05 04:06:05.030,3,6,2016-04-05 04:08:20.813,3,0,0,2016-04-05 04:08:24.036,2016-04-05 04:08:22.726
2016-04-05 22:37:31.416,3,6,2016-04-05 22:40:18.291,3,0,0,2016-04-05 22:40:22.640,2016-04-05 22:40:21.091
2016-04-06 08:50:07.843,2,6,2016-04-06 08:51:45.417,3,0,0,2016-04-06 08:52:09.417,2016-04-06 08:51:49.166
