branch,loopid,choice,click_count,survey_start,qstart,qend
2,1,2016-03-23 04:01:15.819,1,2016-03-23 04:01:30.904
2,1,1,2016-03-23 04:08:56.524,2016-03-23 04:09:09.548,2016-03-23 04:09:31.432
2,QID1,1,1,2016-03-23 04:14:47.251,2016-03-23 04:14:50.692,2016-03-23 04:15:00.212
1,QID1,1,2,2016-03-23 04:30:57.181,2016-03-23 04:30:59.761,2016-03-23 04:31:06.383
2,QID1,1,2,2016-03-23 07:45:34.555,2016-03-23 07:47:01.957,2016-03-23 07:47:09.586
3,QID1,1,2,2016-03-23 07:59:20.286,2016-03-23 07:59:22.181,2016-03-23 07:59:34.838
3,QID1,1,1,2016-03-24 00:18:05.009,2016-03-24 00:19:10.668,2016-03-24 00:19:22.038
1,QID1,1,2,2016-03-23 07:45:21.961,2016-03-24 00:29:41.619,2016-03-24 00:30:03.036
2,QID1,1,1,2016-04-21 01:17:35.841,2016-04-21 01:22:50.574,2016-04-21 01:23:15.731
1,QID1,5,2,2016-04-26 06:32:41.676,2016-04-26 06:32:44.462,2016-04-26 06:32:54.696
2,QID2,1,1,2016-03-23 04:14:47.251,2016-03-23 04:15:00.504,2016-03-23 04:15:08.499
1,QID2,1,2,2016-03-23 04:30:57.181,2016-03-23 04:31:20.672,2016-03-23 04:31:31.421
2,QID2,1,4,2016-03-23 07:45:34.555,2016-03-23 07:47:33.121,2016-03-23 07:47:42.366
3,QID2,1,2,2016-03-23 07:59:20.286,2016-03-23 08:00:06.089,2016-03-23 08:00:31.470
3,QID2,1,2,2016-03-24 00:18:05.009,2016-03-24 00:19:43.755,2016-03-24 00:19:51.606
1,QID2,1,2,2016-03-23 07:45:21.961,2016-03-24 00:30:37.915,2016-03-24 00:30:46.476
2,QID2,1,2,2016-04-21 01:17:35.841,2016-04-21 01:23:59.448,2016-04-21 01:24:07.529
1,QID2,1,2,2016-04-26 06:32:41.676,2016-04-26 06:33:10.950,2016-04-26 06:33:16.265
2,QID3,1,2,2016-03-23 04:14:47.251,2016-03-23 04:15:08.776,2016-03-23 04:15:15.693
1,QID3,1,2,2016-03-23 04:30:57.181,2016-03-23 04:31:42.369,2016-03-23 04:31:55.500
